stage,generation,candidate_id,population_index,source_name,source_type,linear_prefilter_score,proposal_rank_score,parameter_vector,validation_id,predicted_final3_box_max_error_m,predicted_terminal_velocity_m_per_s,predicted_late_velocity_rms_m_per_s,predicted_corner_max_violation,predicted_corner_sum_violation,candidate_label,candidate_n_modes,candidate_target_fraction,sequence_scale,success,failure_reason,n_trajectory_steps,terminal_R_error_m,terminal_Z_error_m,terminal_Ip_error_A,terminal_RZ_euclidean_error_m,terminal_RZ_box_max_error_m,terminal_normalized_RZ_distance,min_normalized_RZ_distance,min_normalized_RZ_distance_after_step0,min_RZ_euclidean_error_after_step0_m,closest_step_after_step0,closest_velocity_after_step0_m_per_s,relative_distance_reduction,relative_distance_reduction_after_step0,first_step_within_2x_RZ_only,first_step_within_1x_RZ_only,first_step_within_2x,first_step_within_1x,first_step_after_step0_within_2x,first_step_after_step0_within_1x,terminal_within_2x_RZ_only,terminal_within_1x_RZ_only,terminal_within_2x,terminal_within_1x,gate_ip_tolerance_A,terminal_Ip_safe,late_Ip_safe_fraction,late_fraction_within_2x,late_fraction_within_1x,late_R_rms_m,late_Z_rms_m,late_RZ_euclidean_rms_m,terminal_velocity_m_per_s,max_velocity_m_per_s,late_velocity_mean_m_per_s,late_velocity_rms_m_per_s,max_current_utilization,wall_time_s,first_step_after_step0_within_30mm,ever_after_step0_within_30mm,terminal_within_30mm,late_fraction_within_30mm,longest_streak_after_step0_within_30mm_steps,trailing_streak_within_30mm_steps,first_step_after_step0_within_40mm,ever_after_step0_within_40mm,terminal_within_40mm,late_fraction_within_40mm,longest_streak_after_step0_within_40mm_steps,trailing_streak_within_40mm_steps,first_step_after_step0_within_80mm,ever_after_step0_within_80mm,terminal_within_80mm,late_fraction_within_80mm,longest_streak_after_step0_within_80mm_steps,trailing_streak_within_80mm_steps,gate_tier,gate_label,strict_gate_pass,relaxed_gate_pass,terminal_RZ_reduction_vs_zero_action_fraction,continuous_objective,selection_score,position_excess_objective,velocity_excess_objective,precise_streak_deficit,action_rms,delta_action_rms,repair_excess_rms,stage2_legacy_selection_score,stage2_legacy_continuous_objective,stage2_2_final3_box_errors_m,stage2_2_final3_box_max_error_m,stage2_2_final3_box_mean_error_m,stage2_2_terminal_box_error_m,stage2_2_final3_R_abs_max_error_m,stage2_2_final3_Z_abs_max_error_m,stage2_2_position_violation,stage2_2_terminal_speed_violation,stage2_2_late_speed_violation,stage2_2_ip_violation,stage2_2_max_violation,stage2_2_sum_violation,stage2_2_l2_violation,stage2_2_quality,stage2_2_selection_score,generation_rank
Stage2.2,1,s22g001_79968903f8cc3402,59,corner_local_0004,corner_local,2.9102048631929516,91.19068864740493,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.2239675368463443,1.8256385952426102,0.10073647775611737,-0.27233535646957,2.2378260792278866,-0.24748305022816028,-0.9148967145401289,-1.3670491285134159,0.1915080709898426,-0.5411488213337101,-0.052179809424011375,0.07040406638699799]",s22g001_79968903f8cc3402,0.0311494257961362,0.03589262445491147,0.10861817489140302,0.08618174891403019,0.12449594211857029,,,,,True,,11,-0.027742476999999988,0.0300056114,698.7540000000008,0.04086541013599812,0.0300056114,1.3621803378666042,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027795148697620266,0.0309428645666133,0.04159364324882583,0.01878619825973402,0.6494483007890555,0.0969014133668592,0.10831056996962905,0.41455,274.09650564193726,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.529363391573883,8882.349333813763,1008882.3493338138,0.002055420097525337,0.0069065573220100105,1.0,0.4692206346231952,0.254868409476328,0.07221204169192971,3000039.413664219,39.41366421875869,"[0.031076081,0.0301308293,0.0300056114]",0.031076081,0.030404173899999998,0.0300056114,0.027771300000000054,0.031076081,0.035869366666666735,0.0,0.08310569969629045,0.0,0.08310569969629045,0.11897506636295718,0.0905161244590034,5.3629742738931885,1008882.3493338138,93
Stage2.2,1,s22g001_75df7e73ff266db5,33,probe_c2_h00_p,multi_center_probes,2.911915226098037,68.95041693171424,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.220493434942497,1.8339524869218462,0.11602045403562732,-0.28855984958283737,2.2232286487576323,-0.2956840226543265,-0.8803612129819165,-1.3329796074137585,0.20019891051340608,-0.515256289148781,0.05652819409651051,0.08614530769184572]",s22g001_75df7e73ff266db5,0.031183149115515847,0.03524228439956027,0.10647536207936847,0.06475362079368474,0.10419192464421312,,,,,True,,11,-0.027668126999999987,0.029933745,712.828800000003,0.04076216801659541,0.029933745,1.3587389338865135,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,True,True,True,10000.0,True,1.0,1.0,0.25,0.027749550960241762,0.030919310182917645,0.041545653451143714,0.02091251087660659,0.6494315005215641,0.0976488007698235,0.10852421611879781,0.41450000000000004,259.86608052253723,1,True,True,0.25,2,1,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5305524049903815,9106.266615051194,1009106.2666150512,0.0020470058402427857,0.007266226043997243,0.6666666666666666,0.4648693449592366,0.252921105811254,0.07721714334109818,3000031.092320088,31.09232008804368,"[0.0310743858,0.0301121071,0.029933745]",0.0310743858,0.030373412633333333,0.029933745,0.027737063000000006,0.0310743858,0.03581286000000006,0.0,0.08524216118797812,0.0,0.08524216118797812,0.12105502118797817,0.09245965058000623,5.370760921482835,1009106.2666150512,94
Stage2.2,1,s22g001_3341f55a03252c3d,93,random_corner_parent_09_0015,random_local,2.961207890116403,44.08565745306993,"[2.409019822811895,1.198039450629735,0.48122664718631664,1.1850118425643945,1.8268911128875174,0.09253814585727213,-0.25195751364217017,2.1015897068273444,-0.3435906170273734,-0.7354517740570443,-1.4876129419860886,0.11250016998331121,-0.675107599490465,0.22846429945706048,0.10597359109140891]",s22g001_3341f55a03252c3d,0.03124094308337628,0.040937849732160636,0.1025917128761441,0.04136476944587608,0.06728189820731711,,,,,True,,11,-0.028543549999999973,0.0300295944,790.2577000000019,0.041430795146014394,0.0300295944,1.3810265048671466,0.5817437020072838,0.7819326651391102,0.023457979954173303,1,0.6279832306637085,0.0,-0.3441188317829352,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.028190882994279833,0.03105529388153406,0.04194230754340565,0.05066774839296003,0.6496324183569334,0.10323509856784467,0.10862560335752952,0.41455,283.11282205581665,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5228519951952956,9236.680735039292,1009236.6807350393,0.002359195631607346,0.007440103328142435,1.0,0.4641182300765193,0.2607692792891851,0.06433491506698451,3000040.157365636,40.1573656358918,"[0.0312370285,0.0302616955,0.0300295944]",0.0312370285,0.030509439466666666,0.0300295944,0.028543549999999973,0.0312370285,0.041234283333333455,0.0,0.0862560335752951,0.0,0.0862560335752951,0.12749031690862855,0.09560527940525072,5.510830470013221,1009236.6807350393,95
Stage2.2,1,s22g001_e0571f16d15f1867,36,corner_local_0009,corner_local,2.9070982199404836,45.11143531157568,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.1883088471831151,1.799568121475191,0.12835292334364562,-0.3025015772359018,2.160212649829809,-0.30034790852017723,-0.7373949210317456,-1.3222875932351292,0.10352822348148581,-0.5776563740738259,0.18046548215434088,0.06852314420425447]",s22g001_e0571f16d15f1867,0.031255202218813095,0.03818435389637839,0.10392171852630568,0.04184007396043654,0.08105725922349327,,,,,True,,11,-0.027788236999999993,0.0298030959,790.5456000000013,0.04074813665424182,0.0298030959,1.3582712218080606,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,True,True,True,10000.0,True,1.0,1.0,0.25,0.027815420791184643,0.030920948887272766,0.04159089700739817,0.03490762493063026,0.6494389534707837,0.10151849730087517,0.10950985977060929,0.41445,267.3049988746643,1,True,True,0.25,2,1,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5307140006471415,10149.924528963631,1010149.9245289636,0.0021680947590951025,0.00904374328566527,0.6666666666666666,0.4597616008394427,0.2510397758621525,0.06769108385009473,3000031.4192802445,31.419280244628226,"[0.0311387565,0.0301193983,0.0298030959]",0.0311387565,0.030353750233333334,0.0298030959,0.027788236999999993,0.0311387565,0.037958549999999924,0.0,0.09509859770609275,0.0,0.09509859770609275,0.13305714770609267,0.10239431040720849,5.441857122654164,1010149.9245289636,96
Stage2.2,2,s22g002_564cf51c5ccd4c4e,15,probe_c0_h09_p,multi_center_probes,2.939526961850029,50.44925111777912,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2459201768972368,1.8051770748969636,0.1082563421788616,-0.34085065205519466,2.2925018817729637,-0.18201508593500526,-1.087863045737754,-1.376258758469233,0.19532607007822167,-0.5061994086987542,-0.2102530047699112,-0.009609279153778526]",s22g002_564cf51c5ccd4c4e,0.03144391710712959,0.024628483456332936,0.10091015700250351,0.0481305702376531,0.05723214026268808,,,,,True,,11,-0.02742756099999999,0.0305400152,696.1556000000019,0.04104830850138592,0.0305400152,1.3682769500461973,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027658152826923323,0.031130324811443736,0.04164217262179576,0.01821838525801873,0.6492809669928203,0.09116334465939979,0.10265679007494848,0.41465,267.05487275123596,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5272569972886836,4038.5137463249266,1004038.5137463249,0.002145860962210581,0.0007058533502344742,1.0,0.47774176389020967,0.258790104601507,0.07200500556693265,3000038.8575268155,38.857526815614754,"[0.0311195788,0.0303580888,0.0305400152]",0.0311195788,0.030672560933333332,0.0305400152,0.027708202000000015,0.0311195788,0.03731929333333328,0.0,0.026567900749484785,0.0,0.03731929333333328,0.06388719408281807,0.0458102936591095,5.225343001336037,1004038.5137463249,1
Stage2.2,2,s22g002_947d11cac5feee4f,33,probe_c2_h04_p,multi_center_probes,2.9618309867542885,43.151187117621674,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.235073434942497,1.8161324869218463,0.12250045403562732,-0.32320984958283744,2.194878648757632,-0.3348340226543265,-0.9168112129819165,-1.4504296074137586,0.21477891051340608,-0.5598062891487809,0.09297819409651051,0.06832530769184574]",s22g002_947d11cac5feee4f,0.031243891407915985,0.028147552797767615,0.09994936078014723,0.04146304693053282,0.04146304693053282,,,,,True,,11,-0.028114795999999997,0.030285467,724.3685000000005,0.0413237373131921,0.030285467,1.3774579104397366,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.028002245601377602,0.03106038749282988,0.04181953407110862,0.026004917512699767,0.6494430965163749,0.09365364188142587,0.10335964782984194,0.41455,270.36744260787964,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.524084953219631,4110.641640211805,1004110.6416402118,0.0021189968941586904,0.0011287233540561573,1.0,0.46933216488745877,0.2608485036411678,0.07865825523870638,3000039.0967151327,39.0967151326295,"[0.0311309159,0.0302857688,0.030285467]",0.0311309159,0.030567383899999998,0.030285467,0.028114795999999997,0.0311309159,0.03769719666666682,0.0,0.033596478298419274,0.0,0.03769719666666682,0.0712936749650861,0.050495564068356674,5.251709616372763,1004110.6416402118,2
Stage2.2,2,s22g002_e7867931b32c3a50,0,corner_archive_00,anchor_corner,2.931989674530063,51.00624082563988,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2313401768972367,1.8197570748969636,0.1017763421788616,-0.31250065205519467,2.2641518817729636,-0.16986508593500527,-1.1243130457377541,-1.3398087584692329,0.20990607007822168,-0.5426494086987542,-0.1738030047699112,-0.024189279153778526]",s22g002_e7867931b32c3a50,0.03145184627960919,0.02461155573430826,0.10161562475610665,0.04839487598697301,0.06455112354803938,,,,,True,,11,-0.027195579999999997,0.0305993209,703.2738000000027,0.040937977613428544,0.0305993209,1.3645992537809515,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027526226292183237,0.031163960378957706,0.041579869653351795,0.022308996880408334,0.6493183822112883,0.09240294721537548,0.10303488188646727,0.41455,275.89889645576477,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5285276502624356,4134.26152562676,1004134.2615256268,0.0022141411124952212,0.0009210508064807048,1.0,0.4778043992820854,0.2573830546892362,0.06558217933974088,3000038.8796804743,38.8796804745003,"[0.0311419994,0.0303911549,0.0305993209]",0.0311419994,0.03071082506666667,0.0305993209,0.027617522000000005,0.0311419994,0.03806664666666659,0.0,0.030348818864672555,0.0,0.03806664666666659,0.06841546553133915,0.04868388229101643,5.251114543764836,1004134.2615256268,3
Stage2.2,2,s22g002_337ea2e49d6d3866,21,probe_c1_h13_p,multi_center_probes,2.956520898539171,52.42056305629124,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2459201768972368,1.8375770748969635,0.1226563421788616,-0.34085065205519466,2.1728018817729637,-0.15771508593500527,-1.1607630457377542,-1.3843587584692327,0.19532607007822167,-0.5871994086987542,-0.2912530047699112,-0.009609279153778526]",s22g002_337ea2e49d6d3866,0.0315112787840569,0.024427074617994628,0.09899842772640724,0.050375959468563325,0.050375959468563325,,,,,True,,11,-0.027289686000000035,0.0309025457,681.2833000000028,0.04122734884417365,0.0309025457,1.374244961472455,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027550090266979087,0.03128331572439224,0.04168516902245573,0.03685584543013455,0.6493067621805658,0.09185234513053812,0.10000603940917611,0.41450000000000004,282.4189476966858,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.525195034875468,4157.509492786019,1004157.509492786,0.0023994813466743136,3.647446319657031e-09,1.0,0.48322307768800954,0.25886737723534736,0.049912336459849764,3000038.976670249,38.97667024877512,"[0.0311862977,0.0305341797,0.0309025457]",0.0311862977,0.030874341033333336,0.0309025457,0.02761068,0.0311862977,0.03954325666666669,0.0,6.0394091761173385e-05,0.0,0.03954325666666669,0.039603650758427866,0.03954330278634044,5.22592029939295,1004157.509492786,4
Stage2.2,2,s22g002_451695ed87194df1,91,random_corner_parent_10_0016,random_local,2.9716137589243146,50.117075706162645,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2129012741380463,1.857875911128201,0.12514826012760719,-0.2610117132974373,2.1361005007462848,-0.18717373009821484,-1.0998112039622248,-1.5006008901399766,0.24049537253686656,-0.6978852568629343,-0.29296024383547853,0.005142363450016958]",s22g002_451695ed87194df1,0.03143724475392101,0.026765606632792524,0.10065718691494581,0.047908158464033734,0.0544800276134918,,,,,True,,11,-0.02775176700000004,0.0307303615,651.3685000000005,0.04140671068248447,0.0307303615,1.380223689416149,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027731577522527317,0.031220574474850788,0.0417584082841725,0.03626705301909927,0.6493060702971191,0.09325412924557823,0.10169755309262851,0.41435,274.887065410614,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5231293698795032,4160.915921518346,1004160.9159215183,0.0023239072663383247,0.0002881686502292626,1.0,0.4858931847107074,0.26321787461895624,0.047822142067667356,3000039.1073324056,39.107332405446996,"[0.0311669175,0.0304393235,0.0307303615]",0.0311669175,0.0307788675,0.0307303615,0.02775176700000004,0.0311669175,0.038897249999999994,0.0,0.01697553092628512,0.0,0.038897249999999994,0.055872780926285115,0.04244013086445143,5.25966694868267,1004160.9159215183,5
Stage2.2,2,s22g002_e33cefea4f73febd,25,probe_c1_h15_p,multi_center_probes,2.948690171856135,47.62388604974742,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2459201768972368,1.8375770748969635,0.1096963421788616,-0.2841506520551947,2.1728018817729637,-0.15771508593500527,-1.087863045737754,-1.457258758469233,0.19532607007822167,-0.5871994086987542,-0.21835300476991118,-0.03876927915377852]",s22g002_e33cefea4f73febd,0.0313359696845426,0.02856898201017887,0.10320195854304666,0.04453232281808672,0.07655190824855329,,,,,True,,11,-0.02775580700000002,0.030488153,699.613400000002,0.04122999267005343,0.030488153,1.3743330890017809,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027804367812758905,0.031078109939534804,0.04170050103872848,0.025086193108163388,0.6493220642118115,0.09330926344780188,0.10382241275407618,0.41455,274.9801859855652,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5251645866004798,4174.237675049226,1004174.2376750492,0.0020417954597909747,0.0014610839262524222,1.0,0.48131645019040115,0.2626323317823038,0.049419521032238185,3000039.051625743,39.05162574302738,"[0.0310618229,0.0302881029,0.030488153]",0.0310618229,0.030612692933333335,0.030488153,0.027779336000000043,0.0310618229,0.03539409666666682,0.0,0.038224127540761765,0.0,0.038224127540761765,0.07361822420742858,0.052094395140953285,5.257629002331238,1004174.2376750492,6
Stage2.2,2,s22g002_477bfcc758a86df6,57,corner_local_0050,corner_local,2.957572919201639,48.6641603246962,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2375031783137358,1.8354496935078448,0.10405129574045012,-0.3149202373877035,2.195372618380991,-0.26945749265186997,-1.021031183197771,-1.4359471532910104,0.15972302708580283,-0.5827840543312799,-0.06761365005531708,0.04376453478622129]",s22g002_477bfcc758a86df6,0.03140292070948569,0.023349514864312974,0.0982685566439679,0.046764023649523256,0.046764023649523256,,,,,True,,11,-0.027757608000000045,0.0305758415,737.0255000000034,0.041296088014662946,0.0305758415,1.3765362671554315,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027782390033414896,0.031185510804834688,0.041765982331644635,0.022648398212692787,0.6493246718346385,0.09030545716293185,0.1007443100217996,0.41455,263.79247760772705,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5244033832082647,4189.275611049845,1004189.2756110498,0.0022896857316233635,5.539974085512866e-05,1.0,0.4748177927945601,0.2597348059759726,0.06903291779159129,3000038.8788348413,38.87883484137878,"[0.0311867486,0.0304206167,0.0305758415]",0.0311867486,0.0307277356,0.0305758415,0.027757608000000045,0.0311867486,0.03955828666666683,0.0,0.007443100217995768,0.0,0.03955828666666683,0.0470013868846626,0.04025242582574769,5.188971018756699,1004189.2756110498,7
Stage2.2,2,s22g002_c05c76ee32570750,22,probe_c1_h14_m,multi_center_probes,2.9616484725277927,51.54700171112173,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2167601768972367,1.8375770748969635,0.1226563421788616,-0.2841506520551947,2.229501881772964,-0.15771508593500527,-1.1607630457377542,-1.457258758469233,0.2244860700782217,-0.5871994086987542,-0.2912530047699112,-0.03876927915377852]",s22g002_c05c76ee32570750,0.03148403054119971,0.02283429457872132,0.10017748282868272,0.04946768470665708,0.051242512993484146,,,,,True,,11,-0.027474888999999947,0.0308566958,671.9990000000034,0.04131591946521408,0.0308566958,1.377197315507136,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027621851871973677,0.03127469687442622,0.04172617122891221,0.03546378082026764,0.6493085823585713,0.09192155490353636,0.10043562580888672,0.4144,267.31530356407166,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5241749894004822,4192.808933744789,1004192.8089337448,0.00241064787471667,1.897698453682085e-05,1.0,0.48504158777256595,0.26358628600782474,0.05843543241332879,3000039.0092035215,39.00920352162182,"[0.0311914035,0.0305117617,0.0308566958]",0.0311914035,0.030853286999999997,0.0308566958,0.027633716999999947,0.0311914035,0.03971345000000004,0.0,0.004356258088867193,0.0,0.03971345000000004,0.04406970808886723,0.039951659482921655,5.233441906341,1004192.8089337448,8
Stage2.2,2,s22g002_967ed9090f44e00c,35,probe_c2_h05_p,multi_center_probes,2.959287683748103,46.9777471566381,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.235073434942497,1.7869724869218462,0.12250045403562732,-0.3799098495828374,2.194878648757632,-0.3105340226543265,-0.9168112129819165,-1.3775296074137584,0.21477891051340608,-0.6327062891487809,0.09297819409651051,0.03916530769184573]",s22g002_967ed9090f44e00c,0.03135427368114809,0.02674804214196467,0.09749269675744189,0.04514245603826983,0.04514245603826983,,,,,True,,11,-0.027862795999999967,0.0304482904,736.3578000000016,0.04127267606080743,0.0304482904,1.375755868693581,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02790924240502331,0.03115423057552938,0.041827166941780805,0.013389365569750712,0.6494555395659283,0.088224562288918,0.10019776714025508,0.41465,274.93580317497253,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5246730127683872,4221.836000131443,1004221.8360001314,0.002263835836944113,3.911184176467188e-06,1.0,0.46922283149171434,0.2569548990439794,0.07546213329357854,3000038.805107632,38.80510763204316,"[0.0312024927,0.0304007406,0.0304482904]",0.0312024927,0.03068384123333333,0.0304482904,0.02788521300000002,0.0312024927,0.04008308999999999,0.0,0.0019776714025507847,0.0,0.04008308999999999,0.04206076140255077,0.040131848800230546,5.152105720949723,1004221.8360001314,9
Stage2.2,2,s22g002_09f0c41cdd062f43,37,corner_local_0061,corner_local,2.9412437006871497,44.65817065878984,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.2274739633781768,1.8230070059463597,0.11445009368617046,-0.329582835034666,2.128577568685717,-0.3254242695616125,-0.8951940869324934,-1.3233800215033162,0.17911253259486953,-0.5909376008441549,0.011416648271764371,0.1195387353248943]",s22g002_09f0c41cdd062f43,0.0312698916202266,0.0311425219894801,0.10151462180148509,0.04232972067422014,0.05747593868907086,,,,,True,,11,-0.02783086300000004,0.0302503437,720.468200000003,0.04110523359978509,0.0302503437,1.3701744533261697,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027858689508804983,0.03107698819510154,0.041735905122885275,0.015441623481838702,0.649433401847587,0.09157478369901935,0.10319415917700772,0.41455,262.56960940361023,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5266014053062283,4251.039791024057,1004251.039791024,0.0021987797538671637,0.001020265284806261,1.0,0.4657513272414389,0.2504016405404047,0.06696628757998095,3000038.9274191363,38.92741913620111,"[0.0311733319,0.030302928,0.0302503437]",0.0311733319,0.030575534533333334,0.0302503437,0.02783086300000004,0.0311733319,0.03911106333333336,0.0,0.03194159177007716,0.0,0.03911106333333336,0.07105265510341052,0.050496936143396606,5.225901133684614,1004251.039791024,10
